File,Left Context,Hit,Right Context
RM_BEA_2014.txt,"goods procured in U.S. ports by foreign ocean and air carriers . At this time , these purchases are limited to fuel , which are ",not included ,in the Census basis data described above . Estimates are based on a supplemental report provided by the Census Bureau and on BEA 
RM_BEA_2014.txt,basis data . This adjustment is based on BEA ’s surveys of international services transactions . 10.33 . An addition is made for nonmonetary gold ,not included ,in the Census basis data . This involves gold that is purchased by foreign official agencies and is shipped to the FRBNY where 
RM_BEA_2014.txt,"receipts ) and debits ( payments ) . Transactions related to debt assumption , investment grants , and marketing assets , including goodwill , are ",not included ,in the ITAs due to the lack of adequate source data . BEA combines capital transfers with other capital account transactions in its 
RM_CSO_2018.txt,a variety of cross - border transactions . These cover ( a ) direct imports and exports of goods for consumption of private households and ,not included ,in the official merchandise trade statistics ; ( b ) improved data on transactions in services ( tourism and travel ; communications ; 
RM_EC+al_2009.txt,"of the gross value added of all resident institutional units engaged in production ( plus any taxes , and minus any subsidies , on products ",not included ,in the value of their outputs ) . This is not exactly the same as the sum of the gross value added of 
RM_EC+al_2009.txt,"in section C ) . The part ( possibly the total ) of taxes on products ( less subsidies on products ) , that is ",not included ,in the value of output does not originate in any specific sector or industry ; it is a resource of the total economy 
RM_EC+al_2009.txt,"of all resident producer units plus that part ( possibly the total ) of taxes on products , less subsidies on products , that is ",not included ,"in the valuation of output . 2.139 Next , GDP is also equal to the sum of the final uses of goods and "
RM_EC+al_2009.txt,"account and the external accounts , say , but not in the production and income accounts . 6.46 Regular thefts of products from inventories are ",not included ,in the value of output . Suppose a shop suffers regular theft from inventories . In calculating the value of output of the 
RM_EC+al_2009.txt,"deductible VAT , payable by the purchaser ; and b. The value of any transport charges on a good paid separately by the purchaser and ",not included ,in the producer ’s price . It follows that the purchaser ’s price may exceed the basic price by the amount of the 
RM_EC+al_2009.txt,"of the production account . If payments made in advance or in arrears attract interest charges , these should be shown as separate transactions and ",not included ,"in the value of sales . Recording of barter 6.102 Barter occurs when goods and services are exchanged for other goods , services "
RM_EC+al_2009.txt,same enterprise should be valued at the same prices as were used to value them as outputs of those establishments plus any additional transport charges ,not included ,in the output values . 6.219 When goods or services produced within the same establishment are fed back as inputs into the production 
RM_EC+al_2009.txt,"of the item . Further , in the case of highly complex machinery there may be significant costs associated with delivery and installation that were ",not included ,in the purchase price . 10.49 The benefits to be derived from the use of the asset in production have to cover these 
RM_EC+al_2009.txt,of ownership of the asset ; d. Any tax payable on the disposal of an asset ; e. Any delivery and installation or disinstallation costs ,not included ,in the price of the asset being acquired or disposed of ; and f. Any terminal costs incurred at the end of an 
RM_EC+al_2009.txt,"expected to do so in the near future . Thus , known deposits of minerals that are not commercially exploitable in the foreseeable future are ",not included ,"in the balance sheets of the SNA , even though they may possibly become commercially exploitable at a later date as a result "
RM_EC+al_2009.txt,water and other natural resources are included in the balance sheet to the extent that they have been recognized as having economic value that is ,not included ,"in the value of the associated land . As observed prices are not likely to be available , they are usually valued by "
RM_EC+al_2009.txt,"to worsen in an ageing population . For this reason , estimates of the liabilities of social security as well as any other pension schemes ",not included ,in the main accounts are included in a supplementary table described below in section J. 17.125 The recording of the flows for social 
RM_EC+al_2009.txt,"entitlement of participants in a defined contribution pension scheme , and thus ultimately the funding for the benefits , come from holding gains that are ",not included ,"in the contribution supplements of participants in defined contribution pension schemes , the adjustment for the change in pension entitlements for these individuals "
RM_EC+al_2009.txt,classified as a financial institution . 17.254 Repurchase agreements are classified as giving rise to deposits or loans depending on whether they are or are ,not included ,in the national measure of broad money . They thus give rise to interest that may have a FISIM component . In addition 
RM_EC+al_2009.txt,referred to as total factor productivity ( TFP ) . The advantage of using MFP as the measure of productivity is that it includes effects ,not included ,in the labour and capital inputs . This topic is discussed further in chapter 20 and in Measuring Capital . 19.65 The productivity 
RM_EC+al_2009.txt,". However , this is not the same as saying that any unit that is not informal is formal , since households with unincorporated enterprises ",not included ,in the informal sector are divided between those that are treated as formal ( because of size or registration ) and the rest 
RM_EC+al_2009.txt,surveys 25.83 A household survey ( or labour force survey ) may provide a means to collect information on production by household enterprises that are ,not included ,in the sampling frames used for establishment surveys . It may also be possible to collect data on informal sector employment in household 
RM_EC+al_2009.txt,"territory engaged in production ( that is , gross value added at basic prices ) plus any taxes , minus any subsidies , on products ",not included ,in the value of their outputs . GDP is also equal to the sum of final expenditures minus expenditures on imports by institutional 
RM_ECB_2016_2.txt,"governments may hold working balances and other assets in foreign currencies , foreign exchange positions of central governments and/or of the ministries of finance are ",not included ,in the reserve assets definition for the euro area in accordance with the institutional arrangements in the Treaty establishing the European Community . 
RM_ECB_2016_2.txt,". The result from this compilation represents the average weighted interbank rate , which is used as a reference rate . Domestic subsector S.125 is ",not included ,in the calculation of the external reference rate as it has a very negligible impact on the reference rate . FISIM is the 
RM_ECB_2016_2.txt,to the provision of services for processing or repairing goods ( see the Other Services heading ) . The information needed to estimate the transactions ,not included ,"in the Customs trade statistics is obtained from the ECIS . Lastly , the information includes the estimates relating to illegal activities in "
RM_ECB_2016_2.txt,part which relates to compensation of employees paid to non - residents and a separate survey on income paid to non - residents for institutions ,not included ,"in the survey sample . Income from direct investment , portfolio investment and other investment is reported separately . Data on reinvested earnings "
RM_ECB_2016_2.txt,"to capture wages and salaries of foreign students in Cyprus as well as of Cypriot students abroad . At present , employee stock options are ",not included ,in the “ compensation of employees ” item since this item is insignificant for Cyprus . Direct investment income is collected either directly 
RM_ECB_2016_2.txt,"of the spread between their buying and selling prices , are not yet recorded . The same applies to employee stock options , which are ",not included ,"in the compensation of employees ’ item . External transactions and financial stocks of resident households are only partially covered , yet the "
RM_ECB_2016_2.txt,". It should be noted that margins on buying and selling transactions  are not yet included in the National Accounts , and are therefore also ",not included ,"in the b.o.p . financial services ( to preserve consistency ) . When quarterly data for services trade are not yet available , "
RM_IMF_2009_e.txt,". Thus , satellite accounts and other supplemental presentations are encouraged . Such presentations would be based on the circumstances in each economy and are ",not included ,in the standard components or memorandum items . They may include data from other sources that are not necessarily obtained from the international 
RM_IMF_2009_e.txt,"on significant contingent assets or liabilities . A contingent claim sold to another party is classified under contracts , leases , and licenses ; is ",not included ,"in the IIP ; and has no counterpart liability . 5.11 Although the value of future payments arising from equity , financial derivatives "
RM_IMF_2009_e.txt,10.13 General merchandise on a balance of payments basis covers goods whose economic ownership is changed between a resident and a nonresident and that are ,not included ,"in the following specific categories : goods under merchanting ( see paragraphs 10.41 – 10.49 ) , nonmonetary gold ( paragraphs 10.50–10.54 ) "
RM_IMF_2009_e.txt,"( if the goods pass through the economy of the trader ) or under goods under merchanting ( otherwise ) . However , any margins ",not included ,in the FOB price of the goods are included in trade - related services . Brokerage on financial instruments is excluded from trade 
RM_IMF_2009_e.txt,"importer , and so are resident - to - resident transactions . The amount of import duties paid by the exporter , therefore , is ",not included ,"in the FOB value of the goods . ( Because the tax is imputed as being paid by the importer , it is "
RM_IMF_2009_e.txt,"transactions and positions vis - à - vis CUs and EcUn , the territories are as defined above . A3.76 Because most international organizations are ",not included ,"in the economic territory of an economy or region and so are not considered resident in that economy , a separate region for "
RM_IMF_2009_e.txt,and supplementary items are covered in Section C. Section D identifies related data series that are often raised in the context of remittances but are ,not included ,"in the definitions as such . Section E discusses the application of balance of payments concepts on remittances , and Section F considers "
RM_IMF_2014_e.txt,"sources to compile the balance of payments statistics related to these markets . Also , security transactions between residents of securities issued by nonresidents are ",not included ,"in the balance of payments . However , such changes in holdings should be captured in the other changes in financial assets and "
RM_IMF_2014_e.txt,", under social contributions Are included in the secondary income account , under social beneﬁts Are included in the ﬁnancial account and the IIP Are ",not included ,"in the balance of payments but should be included in the other changes in ﬁnancial assets and liabilities account , under other volume "
RM_IMF_2014_e.txt,"more than a certain age ) . A   related issue is the expenditure of children . In many surveys of visitors , children are ",not included ,"in the sample . As children ( other than students ) often travel in groups with adults , their omission should not be "
RM_IMF_2014_e.txt,"this is not a balance of payments transaction . Similarly , if a nonresident airline is providing transport services to nonresidents ; these services are ",not included ,"in the compiling economy ’s balance of payments . On the other hand , where a resident airline is providing transport services to "
RM_IMF_2014_e.txt,"fund shares . Subsequent transactions between these DIENTs and/or between any of the DIENTs and the government are resident - resident transactions , and are ",not included ,"in the balance of payments . Regarding the ﬂows between the direct investor and the DIENT , identifying how the production sharing agreement "
RM_IMF_2014_e.txt,"importer , and so are resident - to - resident transactions . The amount of import duties paid by the exporter , therefore , is ",not included ,"in the f.o.b . value of the goods . Similarly , if an importer agrees to pay export taxes , the tax is "
RM_IMF_2014_e.txt,"and the earnings on those assets are available only for paying pension benefits . These assets do not belong to shareholders , and earnings are ",not included ,in the company ’s net income .   A2.86 Several components are relevant to calculate the employer ’s periodic pension costs . The 
RM_ONS_2018.txt,not registered for VAT and private individuals who move goods within the EU have no obligations under the Intrastat system and their trade is therefore ,not included ,in the statistics . Examples of commodities where this trade can be significant are works of art and racehorses . Below threshold trade 
RM_ONS_2018.txt,of the value of imports . Source : ONS estimate Coverage adjustments Second‐hand ships : to include purchases and sales of second - hand ships ,not included ,in the Overseas Trade Statistics . Source : inquiries to UK ship owners conducted by the Department for Transport until late 2005 . 
RM_ONS_2018.txt,is provided in the accounts . Source : ONS and Bank of England estimate Letter post : to include exports by letter post which are ,not included ,in the Overseas Trade Statistics . Sources : books - ONS estimate based on historic information from publishers and booksellers ; other items 
RM_ONS_2020.txt,"unit trusts , investment trusts , open - ended investment companies , finance leasing companies , credit grantors , factoring companies and building societies are ",not included ,in the main aggregates for the UK ’s international investment position . The financial derivatives and employee stock option balance sheet for all 
RM_SCan_2016_csma3_e.txt,"mineral rights resulting from exploration ( though in Canada , other intellectual property products such as databases and entertainment , literary and artistic originals are ",not included ,"in the definition at present due to source data limitations ) . Assets that are not used in economic activity , or are "
RM_UN+al._2010_E.txt,"owns the goods being sold , the trader ’s margin is generally included indistinguishably in the value of the goods . 3.251 . Any margins ",not included ,in the f.o.b . price of the goods are included in traderelated services . Excluded from trade - related services are franchising fees 
RM_UN+al._2010_E.txt,", as it is not specified who owns the remaining 60   per cent of voting power of company J. Also , company J is ",not included ,"in the core FATS data for the economy of company I , because company I does not control company J. Company M is "
RM_ECB_2016_2.txt,"of series stemming from a change in methodology . Provisional , revised and final data are appropriately indicated . Information on revisions is given through ",notes included ,"in the publications , while major changes in methodology are announced through both BoG publications and special press releases . Titles of BoG "
RM_CSO_2014.txt,allocations ( or cancellations ) of SDRs are now recorded as “ net incurrences of liabilities ” by monetary authorities . Transactions in other equity ,not included ,in direct investment ( e.g. equity participations in international organisations ) are now identified separately in other investment . Financial account – reserve 
RM_ECB_2016_2.txt,direct investment positions between resident and non - resident institutional units ( see also Section 3.7 ) . Debt between selected affiliated financial intermediaries is ,not included ,"in direct investment , so the corresponding income on those instruments is also classified as portfolio or other investment income . Rare cases "
RM_ECB_2016_2.txt,"investment funds and financial derivatives .  Financial account In Direct investment , reverse investment in equity as well as equity held between fellow enterprises is ",not included ,"in Direct investment , but in Other investment . In Portfolio investment , reporting gaps exist for the transactions of resident individuals that "
RM_ECB_2016_2.txt,borrowing and lending between fellow enterprises is covered and the debt between affiliated financial corporations is excluded . Assets and liabilities of investment funds are ,not included ,in direct investment even when above 10 % threshold . 2.2.2.7 Portfolio investment The source of data on portfolio investments item in the 
RM_ECB_2016_2.txt,Reserve Assets Data on reserve assets are collected based on accounting system of NBP . 2.2.2.11 Borderline cases Assets and liabilities of investment funds are ,not included ,"in direct investment even when above 10 % threshold . They are included in portfolio investment data , so total investment is unaffected "
RM_ECB_2016_2.txt,"assets and liabilities . Debt instruments between affiliated financial intermediaries ( between domestic and foreign S.122 , S.123 , S.124 and S.125 sectors ) are ",not included ,"in direct investment , they are included in ' other investment ' functional category . Due to non - existence or statistical insignificance "
RM_ECB_2016_2.txt,other investment ' functional category . Due to non - existence or statistical insignificance of data on debt securities between affiliated and fellow enterprises are ,not included ,in direct investment – they are included in ' portfolio investment ' functional category . FDI amounts do not include : • • 
RM_IMF_2009_e.txt,"although holdings that provided 10 percent or more of voting power would be direct investment , and holdings not in the form of securities and ",not included ,"in direct investment would be other investment ) . In a few cases identified in paragraph 6.28 , debt securities representing claims on "
RM_IMF_2009_e.txt,"holdings reach the 10 percent threshold , and in other equity in other investment when investment is not in the form of a security and ",not included ,"in direct investment or reserve assets . ) Portfolio investment is distinctive because of the nature of the funds raised , the largely "
RM_IMF_2009_e.txt,"to investment income . positions between resident and nonresident institutional units . As noted in paragraph 6.28 , debt between selected affiliated financial intermediaries is ",not included ,"in direct investment , so the corresponding income on those instruments is also classified as portfolio or other investment income . Rare cases "
RE_ECB_2016_e.txt,payments ( BOP ) basis covers goods for which a change of economic ownership occurs between a resident and a non- resident and that are ,not included ,"in other specific categories , such as goods under merchanting ( see 1.2 ) and non - monetary gold ( see 1.3 ) "
RE_EU_2012_e.txt,( BOP ) basis covers goods for which a change of economic ownership occurs between a resident and a non - resident and that are ,not included ,"in other specific categories , such as goods under merchanting ( see 1.2 ) and nonmonetary gold ( see 1.3 ) , or "
RM_BEA_2014.txt,"economy by diplomats , consular staff , and military personnel located abroad and their dependents ; and services supplied by and to governments that are ",not included ,in other services categories . Services supplied by and to governments are classified to specific services categories when source data permit . Statistics 
RM_ECB_2016_2.txt,"b.o.p . basis covers goods , for which a change of economic ownership occurs between a resident and a non - resident and that are ",not included ,"in other specific categories , such as goods under merchanting and non- monetary gold , or as part of some transactions in services "
RM_IMF_2009_e.txt,", consular staff , and military personnel located abroad and their dependents ; and 180 ( c ) services supplied by and to governments and ",not included ,"in other categories of services . Transactions of public corporations ( defined in paragraph 4.108 ) are not included , unless the other "
RM_IMF_2014_e.txt,"abroad , and their dependents but excluding revenue / expense of workers who are residents of the local economy • Services supplied by governments and ",not included ,in other categories of services A6.84 As foreign government and international organization enclaves are not residents of the territory in which they are 
RM_SCan_2017_csma8_e.txt,"an import of government services by the host economy . Finally , the third sub - category is services supplied by and to governments and ",not included ,"in other categories of services , such as technical assistance on public administration when not classified to a specific service , payments for "
RM_UN+al._2010_E.txt,"the host economy by diplomats , consular staff and military personnel located abroad and their dependants •    Services supplied by and to Governments and ",not included ,in other categories of services 3.270 . EBOPS 2010 recommends that government goods and services n.i.e . be further classified according to the 
PR_BEA_2020_5.txt,"to foreign holders of U.S. TIPS in portfolio investment interest income payments in the quarter they happen . Previously , these gains and losses were ",not included ,"in portfolio investment interest income payments . A TIPS also pays interest based on a coupon rate , like other U.S. Treasury bonds "
RE_ECB_2016_e.txt,"revaluations due to other price changes . 6.4.1 . OTHER EQUITY Other equity includes equity not in the form of securities , therefore it is ",not included ,in portfolio investment . Participation in the capital of some international organisations is not in the form of securities and thus is classified 
RE_EU_2012_e.txt,"other price changes . 6.4.1 . Other equity ( F519 / AF519 ) Other equity includes equity not in the form of securities , therefore ",not included ,in portfolio investment . Participation in the capital of some international organisations is not in the form of securities and thus is classified 
RM_ECB_2016_2.txt,valuation changes in the other changes in financial assets and liabilities account .  Other equity includes equity not in the form of securities and therefore ,not included ,in portfolio or direct investment . Participation in the capital of some international organisations is generally not in the form of securities and 
RM_IMF_2009_e.txt,"are not reserve assets or direct investment are included in portfolio investment . Although they are negotiable instruments , exchange - traded financial derivatives are ",not included ,in portfolio investment because they are included in their own separate category . 6.55 Equity not in the form of securities ( e.g. 
RM_IMF_2009_e.txt,"they are included in their own separate category . 6.55 Equity not in the form of securities ( e.g. , in unincorporated enterprises ) is ",not included ,in portfolio investment ; it is included in direct or other investment . Equity in time - share accommodation evidenced by a security 
RM_IMF_2009_e.txt,"investment or reserve assets . Other equity , as defined in paragraph 5.26 , is not in the form of securities , so it is ",not included ,in portfolio investment . Participation in some international organizations is not in the form of securities and so it is classified as other 
RM_IMF_2014_e.txt,"reserve assets . Other equity ( as defined in BPM6 , paragraph 5.26 ) is not in the form of securities , so it is ",not included ,"in portfolio investment . It can include equity in quasi - corporations , such as branches , trusts , limited liability and other "
PP_EuS_2015.txt,transactions concern e.g. non - monetary gold that changes ownership without being physically transported to the country of the new owner ; this gold is ,not included ,"in ITGS but is included in the BOP . Transactions linked to merchanting are included only in BOP goods , as goods involved "
PP_EuS_2017.txt,"for example non - monetary gold , which changes ownership without being physically transported to the country of the new owner ; this gold is ",not included ,"in ITGS but is included in the BOP . Transactions linked to merchanting are included only in BOP goods , as goods involved "
PP_EuS_2019.txt,"concerned , non - monetary gold can change ownership without being physically moved to the country of the new owner . While this gold is ",not included ,"in ITGS , it is included in the BOP . Transactions linked to merchanting are included only in BOP goods , since the "
PP_EuS_2019.txt,"by others . ’ Goods acquired for processing abroad or goods sold after processing abroad are included as goods in the BOP , but are ",not included ,"in ITGS , since they are not present in the compiling economy . Differences in valuation occur because imports / debits are valued "
PP_EuS_2020.txt,"concerned , non - monetary gold can change ownership without being physically moved to the country of the new owner . While this gold is ",not included ,"in ITGS , it is included in the BOP . Transactions linked to merchanting ( the purchase of goods by a resident of "
RM_CSO_2014.txt,to clarify its content . The wording “ other than reserves ” has been added to clarify that those financial derivatives in reserve assets are ,not included ,"in this functional category , as well as the wording “ and employee stock options ” to account for this new BPM6 asset "
RM_IMF_2009_e.txt,", intragroup financiers , and treasury functions when these functions are undertaken by a separate institutional unit . Captive insurance companies and pension funds are ",not included ,"in this subsector . Holding companies 4.84 Holding companies are included in this subsector , financial auxiliaries , or nonfinancial corporations , according "
RM_IMF_2009_e.txt,pensions paid out as social benefits by pension schemes ( see paragraph 12.40 ) . ( Changes in pension entitlements arising from capital transfers are ,not included ,"in this item . ) 12.39 When cross - border flows of pension contributions and pension receipts are significant , the adjustment item "
RM_IMF_2014_e.txt,"are shown separately . Trade - related loans provided by a third party , such as a bank , to an exporter or importer are ",not included ,"in this category but under loans , earlier . Note that letters of credit are not included in loans because they are contingent "
RM_IMF_2014_e.txt,"OFC vis - à - vis nonresidents with the corresponding IIP components is very similar to the one for ODC and is , therefore , ",not included ,in this annex . A6.52 Table A6.4 presents the reconciliation of positions of the central bank vis - à - vis nonresidents with 
PP_BEA_2010.txt,"and similar organizations chartered in foreign countries , and of international and regional organizations . The data are adjusted for security swap transactions that are ",not included ,in data provided by U.S. brokers and dealers and for brokerage commissions . U.S. residents ’ purchases and sales are netted against each 
PP_BEA_2010.txt,U.S. agency bonds . Excluded from this account are net purchases by foreign official agencies . Data are adjusted for security swap transactions that are ,not included ,in data provided by U.S. brokers and dealers and for brokerage commissions . Foreign residents ’ purchases and sales are netted against each 
RM_EuS_2021.txt,been introduced for those Member States in which definitions of some BOP items published on national level differ from international standards ( e.g. SPEs are ,not included ,"in data disseminated nationally ) . The following are the definitions of the data flows in terms of the mandatory BOP , ITSS "
RM_EuS_2022.txt,been introduced for those Member States in which definitions of some BOP items published on national level differ from international standards ( e.g. SPEs are ,not included ,"in data disseminated nationally ) . The following are the definitions of the data flows in terms of BOP , ITSS and FDI "
RM_CSO_2014.txt,"and a charge for services ( FISIM ) . In BPM5 , the FISIM component was not recorded separately from actual interest and was therefore ",not included ,"in financial services , but instead in the income account . In BPM6 , FISIM is calculated for loans and deposits vis - "
RM_ECB_2016_2.txt,some residual coverage gaps or deviations from BPM6 in specific b.o.p . and i.i.p . items . Margins on buying and selling financial instruments are ,not included ,"in financial services .  2.1.8 Seasonal adjustment No seasonal adjustment is made . 2.2 Statistical procedures , sources and methods 2.2.1 Overview of "
RM_ECB_2016_2.txt,residual coverage gaps or deviations from BPM6 in specific b.o.p . and i.i.p . items : • Margins on buying and selling financial instruments are ,not included ,in financial services . • • Data on insurance technical reserves have been collected since 2014 . The phase of data quality enhancement 
RM_ECB_2016_2.txt,"Institute of Statistics , the traditional source for transaction involving goods does not collect such information . Margins on buying and selling financial instruments are ",not included ,in financial services . Data on insurance technical reserves and the income attributable to the policyholders are not yet included in b.o.p . 
RM_ECB_2016_2.txt,"Goods exported by resident enterprises for construction projects abroad . • Gaseous natural gas . • Non - monetary gold ( separate goods item , ",not included ,in general merchandise ) . Foreign trade statistics are supplemented with data on specific transactions : • Postal consignments to / from private 
RM_IMF_2009_e.txt,"but does not have economic ownership . In contrast , goods under operating leases do not change ownership to the lessee , and thus are ",not included ,in general merchandise when delivered to the lessee . ( Operating leases are discussed in paragraphs 10.153–10.156 . ) ; ( g ) 
RM_IMF_2009_e.txt,being payable by the exporter and transport costs after the frontier are treated as payable by the importer ; and ( b ) for goods ,not included ,"in general merchandise ( such as materials delivered from the owner to the processor with no change of ownership ) , transport costs "
RM_UN+al._2010_E.txt,"are treated as payable by the exporter , and transport costs after the frontier are treated as payable by the importer •    For goods ",not included ,"in general merchandise ( such as materials delivered from the owner to the processor with no change of ownership ) , transport costs "
RM_IMF_2009_e.txt,"in reserve assets because real estate is not considered a liquid asset . Silver bullion , diamonds , and other precious metal and stones are ",not included ,in reserve assets because they are considered goods and not financial assets . 6.106 Capital subscriptions to international organizations that are not readily 
RM_IMF_2009_e.txt,arrangements that involve reciprocal lines of credit — a characteristic of loan arrangements ( see paragraph 5.51)—are classified as loans in other investment18 and are ,not included ,"in reserve assets , except in circumstances in which they are considered readily available to the monetary authorities to meet a balance of "
RM_IMF_2009_e.txt,"bilateral payments agreement balances are therefore conventionally excluded from reserve assets . Also , owing to their nature , working balances of government agencies are ",not included ,in reserve assets . j. Other issues 6.113 Assets owned by the monetary authorities that do not meet the criteria to be classified 
RM_IMF_2009_e.txt,"in reserve assets or possibly in other functional categories . Where such a fund is significant , the special purpose government fund ’s foreign assets ",not included ,in reserve assets can be shown separately as supplementary items . G. Off - Balance - Sheet Liabilities 7.74 As noted in paragraphs 
RM_ECB_2016_2.txt,"declarations . The Banco de Portugal adjusts data provided by the INE for mainly the following items : c.i.f./f.o.b . margin , f.o.b . goods ",not included ,"in foreign trade statistics , goods procured in ports by carriers – imports , merchanting and repairs on goods without the change in "
RM_ECB_2016_2.txt,• Merchanting – these operations are recorded within b.o.p . and i.i.p . systems after direct reporting to the Banco de Portugal as they are ,not included ,in foreign trade . • Goods procured in ports – Portuguese Foreign Trade is able to record credits ( exports ) but within 
RM_ECB_2016_2.txt,on goods is not recorded in foreign trade Intrastat statistics but collected and recorded as travel in b.o.p . • Goods procured in ports are ,not included ,"in foreign trade but in b.o.p . Also , adjustments are made to trade in goods to reconcile the account with input from "
RM_BEA_2014.txt,"net shipments , which are used to measure transactions . Foreign holdings of U.S. currency are not liabilities to foreign official agencies and are thus ",not included ,"in IIP table 3.1 . 11.85 . Financial - account transactions . As described in chapter 10 , transactions in U.S. currency liabilities "
RM_BEA_2014.txt,of the new source data for reliability and confidentiality . 11.109 . Insurance technical reserves are not liabilities to foreign official agencies and are therefore ,not included ,in IIP table 3.1 . Trade credit and advances 11.110 . Positions . Holdings of claims and liabilities with foreign residents from trade 
RM_BEA_2014.txt,nonfinancial institutions equal the quarterly holdings as reported on the TIC Form CQ–2 . The liabilities are not liabilities to foreign official agencies and are ,not included ,in IIP table 3.1 . 11 – 23 11.112 . U.S. government liabilities from advance payments for foreign purchases of goods and services 
RM_IMF_2009_e.txt,traveling for health or educational purposes . ) The residence of international patients and students is discussed in paragraphs 4.120–4.121 . Health and educational services ,not included ,in travel are discussed in paragraph 10.167 . Other issues related to travel 10.95 A separate supplementary breakdown of travel may be provided 
RM_IMF_2009_e.txt,"aircraft with crew ( included in transport services ) . 10.157 Operating leases of dwellings and other buildings are included in this item , if ",not included ,in travel . If there is no objective basis on which to split the payment between rent on land and rental on the 
RM_UN+al._2010_E.txt,"and relations , and pilgrimages . The residence of international patients and students is discussed in paragraphs 3.11 - 3.12 . Health and education services ",not included ,"in travel are discussed in paragraphs 3.264 - 3.265 . 3.127 . Also recommended is an alternative presentation of travel , by product "
RM_IMF_2014_e.txt,"of FDR included in the banks report . These transactions should be reported to allow for reconciliation of flows and positions , although they are ",not included ,"in balance of payments statement . Reporting Threshold 4.12 In many ITRS , thresholds are established for reporting transactions . Large numbers of "
RM_IMF_2014_e.txt,) could be classified as “ other n.i.e . ” Special codes ( also called neutral codes ) should be identified for transactions that are ,not included ,in balance of payments statement but are recorded in the ITRS to improve the efficiency of the system and for cross - checking 
RM_IMF_2009_e.txt,", are included in deposit - taking corp62 rations , but they may be excluded from the money - issuing sector because their liabilities are ",not included ,in broad money . MMFs are separate from deposit - taking corporations and should be identified separately in the circumstances discussed in paragraph 
RM_IMF_2014_e.txt,"resident sectors ( domestic credit ) . OIN denotes a residual category for other liabilities less other assets , when other liabilities includes all liabilities ",not included ,in broad money . A6.123 Total flows ( closing positions less opening positions ) for the DCS are shown as   ΔBML = 
RM_ECB_2019.txt,"in BSI , and under currency and deposits in the b.o.p./i.i.p . Additionally , the b.o.p . estimations for foreign holdings of euro banknotes are ",not included ,in BSI statistics .  Further details on the comparison are available in Tables A.10.1‑6 in the Annex . 7.4 Coherence with money market 
RM_ECB_2020_2.txt,"in BSI , and under currency and deposits in the b.o.p./i.i.p . Additionally , the b.o.p . estimations for foreign holdings of euro banknotes are ",not included ,in BSI statistics .  Further details of these comparisons are available in Charts A.10.1 to A.10.6 in the Annex . 7.4 Coherence with 
